edad,salario,productos,churn
25,2000,1,0
30,3500,2,0
45,5000,3,1
50,6000,2,1
35,4000,2,0
28,2500,1,0
55,7000,4,1
42,4500,3,1
29,2700,1,0
48,5200,3,1
40,4300,2,0
52,6200,3,1
33,3800,2,0
58,7500,4,1
27,2400,1,0
31,3200,2,0
46,5400,3,1
37,4100,2,0
60,8100,4,1
26,2300,1,0
44,4800,3,1
39,4200,2,0
53,6400,3,1
34,3600,2,0
57,7300,4,1
29,2900,1,0
41,4600,2,0
49,5600,3,1
32,3400,2,0
56,7100,4,1
38,4050,2,0
47,5450,3,1
24,2100,1,0
51,6050,3,1
36,3950,2,0
59,7800,4,1
43,4700,3,1
30,3100,2,0
54,6650,3,1
58,2712,1,1
33,3628,2,0
61,7867,5,0
45,2060,1,0
32,5939,5,0
30,7665,5,1
46,6627,3,1
18,8016,2,0
39,4076,2,0
39,2637,1,0
40,8742,3,1
20,7777,4,1
42,2445,5,0
58,6866,3,1
63,2369,1,0
36,2453,2,0
42,4077,4,0
41,3132,3,0
60,3987,1,0
28,6175,2,0
42,4011,5,0
38,8704,1,0
20,8394,3,1
22,3528,5,1
38,3541,4,0
59,5558,2,1
33,7902,5,1
65,6588,4,1
43,4765,2,0
26,5974,4,0
21,8854,1,0
28,8288,4,1
42,4926,5,1
51,3859,5,1
18,7372,1,0
52,7951,3,1
39,2713,3,0
47,1826,3,1
29,5958,1,1
37,8694,5,1
27,4863,2,0
51,1804,5,1
19,2716,3,1
37,3761,1,0
54,2445,1,1
22,8030,5,1
26,7204,4,1
28,3971,5,1
45,3535,5,1
62,3447,3,1
60,7123,3,1
51,5498,1,1
22,4569,1,0
32,6620,2,0
63,6969,1,1
20,8842,3,0
33,4081,4,0
26,7725,5,1
33,8227,4,1
30,2572,1,0
40,5269,4,1
64,2243,1,0
64,4579,1,0
30,6193,4,0
29,4081,4,0
22,5430,5,0
59,6228,1,1
33,3162,4,0
31,8883,4,1
28,4904,1,0
34,8223,4,1
62,7784,5,1
49,3068,2,0
21,6544,5,0
38,2268,1,0
50,8785,5,0
50,2456,2,0
22,7331,2,0
54,3816,5,1
57,2471,4,1
54,6082,3,1
31,7286,3,1
43,2872,3,0
22,1876,4,0
54,2619,1,0
50,3972,2,1
22,3801,3,0
46,8630,5,1
57,8411,5,0
53,4252,1,1
26,3966,1,0
65,6332,2,1
56,3525,3,1
58,8787,3,1
34,8731,1,0
45,8594,3,0
39,8117,2,0
34,3123,4,0
45,6394,1,0
62,3021,5,0
41,6571,5,0
26,2142,3,0
20,4731,2,0
60,2642,3,1
44,6884,2,1
33,8882,2,1
29,5177,1,0
39,8209,4,1
65,8441,2,1
62,2685,4,1
48,3622,2,1
47,4664,3,1
32,3626,1,0
43,4489,3,1
35,4676,5,0
52,4512,1,0
34,3262,5,1
34,2113,1,0
40,7768,3,1
50,2747,4,1
30,3886,1,0
18,6059,5,1
65,7837,2,1
22,7241,3,1
60,8746,1,1
37,5954,3,1
38,5096,3,1
30,5244,4,1
29,6842,5,1
53,8629,1,1
31,5321,5,1
38,5609,4,1
31,5987,4,1
65,3190,1,0
60,6985,5,1
33,7311,3,1
30,3007,1,0
48,6807,1,1
58,6515,2,1
42,5849,4,1
59,7433,1,1
24,8176,4,1
62,6043,4,0
33,8749,1,0
47,7268,5,1
56,4399,4,1
64,5935,4,1
53,5452,2,1
48,5486,3,1
58,4071,5,1
33,4049,4,0
36,3720,3,0
52,2460,2,0
42,7484,2,1
22,5198,4,1
47,5206,1,1
44,4990,5,1
19,8818,5,1
18,4681,3,1
44,6209,5,1
32,5799,2,0
49,2037,4,1
61,8338,4,1
